Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Basic_Stairs_1B,-23,6.5,14.94,0,90,0,100,100,100
Basic_Stairs_1B,21.57,6.5,1.77,0,180,0,100,100,100
Basic_Stairs_1B,28.36,6.5,1.77,0,180,0,100,100,100
Basic_Stairs_1B,-10.12,6.5,1.76,0,180,0,100,100,100
Basic_Stairs_1B,34.2,6.5,59.18,0,0,0,100,100,100
Basic_Stairs_1B,3.47,6.5,59.18,0,0,0,100,100,100
Basic_Stairs_1B,-14.68,6.5,59.18,0,0,0,100,100,100
Basic_Stairs_1B,-22.95,6.5,46.75,0,90,0,100,100,100
Basic_Stairs_1B,41.44,6.5,14.55,0,270,0,100,100,100
Basic_Stairs_1B,41.43,6.5,45.25,0,270,0,100,100,100
Block_Platform_1B,0.92,2.5,50.44,0,180,0,100,100,100
Block_Platform_1B,20.71,2.5,50.44,0,180,0,100,100,100
Block_Platform_1B,9.44,6.5,64.93,0,180,0,100,100,100
Block_Platform_1B,-13.53,6.5,64.93,0,180,0,100,100,100
Block_Platform_1B,47.37,6.5,52.93,0,270,0,100,100,100
Block_Platform_1B,47.26,6.5,29.01,0,270,0,100,100,100
Block_Platform_1B,47.36,6.5,5.98,0,270,0,100,100,100
Block_Platform_1B,-28.3,6.5,67.68,0,270,0,100,100,100
Block_Platform_1B,-28.44,6.5,44.71,0,270,0,100,100,100
Block_Platform_1B,-28.59,6.5,20.9,0,270,0,100,100,100
Block_Platform_1B,-28.49,6.5,-2.13,0,270,0,100,100,100
Block_Platform_1B,33.25,6.5,64.93,0,180,0,100,100,100
Block_Platform_1B,14.86,2.5,12.13,0,0,0,100,100,100
Block_Platform_1B,-4.22,2.5,12.13,0,0,0,100,100,100
Block_Platform_1B,-6.21,2.5,39.28,0,90,0,100,100,100
Block_Platform_1B,-6.21,2.5,21.05,0,90,0,100,100,100
Block_Platform_1B,27.63,2.5,37.73,0,90,0,100,100,100
Block_Platform_1B,27.63,2.5,18.32,0,90,0,100,100,100
Block_Platform_1B,33.3,6.5,-4.17,0,0,0,100,100,100
Block_Platform_1B,10.33,6.5,-3.99,0,0,0,100,100,100
Block_Platform_1B,-13.48,6.5,-3.81,0,0,0,100,100,100
Barrier_Group_1A,-28.27,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,16.43,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,31.18,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,46.45,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,-13.31,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,1.55,13,68.16,0,0,0,100,100,100
Barrier_Group_1A,5.49,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,-9.36,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,-24.27,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,20.48,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,50,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,35.32,13,-6.5,0,0,0,100,100,100
Barrier_Group_1A,50.5,13,60.6,0,90,0,100,100,100
Barrier_Group_1A,50.5,13,30.89,0,90,0,100,100,100
Barrier_Group_1A,-31.71,13,57.01,0,90,0,100,100,100
Barrier_Group_1A,-31.96,13,-0.54,0,90,0,100,100,100
Barrier_Group_1A,-32.06,13,-15.04,0,90,0,100,100,100
Barrier_Group_1A,-31.86,13,29.26,0,90,0,100,100,100
Barrier_Group_1A,-31.76,13,14.16,0,90,0,100,100,100
Barrier_Group_1A,-31.86,13,43.57,0,90,0,100,100,100
Barrier_Group_1A,50.5,13,16.02,0,90,0,100,100,100
Barrier_Group_1A,50.5,13,1.17,0,90,0,100,100,100
Barrier_Group_1A,50.5,13,45.78,0,90,0,100,100,100
Basic_Stairs_1B,-0.38,2.5,31.27,0,90,0,100,100,100
Basic_Stairs_1B,10.26,2.5,17.93,0,180,0,100,100,100
Basic_Stairs_1B,10.26,2.5,44.49,0,0,0,100,100,100
Basic_Stairs_1B,21.7,2.5,31.27,0,270,0,100,100,100
Floor_B,15.34,0.8,30.01,0,0,0,100,100,100
Floor_B,5.43,0.8,30.01,0,0,0,100,100,100
Floor_B,5.43,0.8,20.63,0,0,0,100,100,100
Floor_B,15.34,0.8,20.63,0,0,0,100,100,100
Floor_B,15.34,0.8,39.61,0,0,0,100,100,100
Floor_B,5.43,0.8,39.61,0,0,0,100,100,100
Floor_A,-14.69,4.3,19.45,0,0,0,100,100,100
Floor_A,-14.69,4.3,6.77,0,0,0,100,100,100
Floor_A,-14.69,4.3,32.21,0,0,0,100,100,100
Floor_A,-14.69,4.3,44.89,0,0,0,100,100,100
Floor_A,-15.46,4.3,57.32,0,0,0,100,100,100
Floor_A,36.5,4.3,19.45,0,0,0,100,100,100
Floor_A,36.5,4.3,6.9,0,0,0,100,100,100
Floor_A,8.12,4.3,2.81,0,0,0,100,100,100
Floor_A,-3.8,4.3,2.81,0,0,0,100,100,100
Floor_A,6.04,4.3,57.88,0,0,0,100,100,100
Floor_A,18.02,4.3,57.88,0,0,0,100,100,100
Floor_A,-5.88,4.3,57.88,0,0,0,100,100,100
Floor_A,27.13,4.3,57.88,0,0,0,100,100,100
Floor_A,20.1,4.3,2.81,0,0,0,100,100,100
Floor_A,29.21,4.3,2.81,0,0,0,100,100,100
Floor_A,36.5,4.3,32.21,0,0,0,100,100,100
Floor_A,36.5,4.3,44.89,0,0,0,100,100,100
Floor_A,50.87,8.24,70.55,0,0,0,100,100,100
Floor_A,36.5,4.3,57.79,0,0,0,100,100,100
rock_6_br,32.11,12.35,2.45,0,90,0,100,100,100
rock_3_br,36.19,11.29,19.15,0,90,0,100,100,100
rock_3_br,39.63,9.89,9.72,0,0,0,100,100,100
Chain,38.39,10.87,14.64,0,-180,25,100,100,100
Chain,35.67,11.54,5.44,4.75,300,15.43,100,100,100
rock_6_br,-11.38,11.6,57.2,0,90,0,100,100,100
rock_3_br,-20.67,10.62,43.12,0,90,0,100,100,100
rock_3_br,-20.58,9.65,53.21,0,0,0,100,100,100
Chain,-21.13,10.45,48.13,-30,160,65,100,100,100
Chain,-15.25,11.04,55.71,1.19,100,-13,100,100,100
