Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Floor_B,2.6,0.8,16.72,0,0,0,100,100,100
Floor_B,2.6,0.8,32.45,0,0,0,100,100,100
Floor_B,18.43,0.8,16.72,0,0,0,100,100,100
Floor_B,18.43,0.8,32.45,0,0,0,100,100,100
Floor_B,18.43,0.8,48.27,0,0,0,100,100,100
Floor_B,2.6,0.8,48.27,0,0,0,100,100,100
Basic_Stairs_1B,10.28,3.1,5.86,0,180,0,100,100,100
Basic_Stairs_1B,10.28,3.1,57.33,0,0,0,100,100,100
Basic_Stairs_1B,-3.33,3.1,19.14,0,90,0,100,100,100
Basic_Stairs_1B,-3.33,3.1,50.64,0,90,0,100,100,100
Basic_Stairs_1B,-26.9,7.01,11.84,0,90,0,100,100,100
Basic_Stairs_1B,34.2,7.01,-16.06,0,180,0,100,100,100
Basic_Stairs_1B,3.47,7.01,-16.06,0,180,0,100,100,100
Basic_Stairs_1B,-14.68,7.01,-16.06,0,180,0,100,100,100
Basic_Stairs_1B,34.2,7.01,81.91,0,0,0,100,100,100
Basic_Stairs_1B,3.47,7.01,81.91,0,0,0,100,100,100
Basic_Stairs_1B,-14.68,7.01,81.91,0,0,0,100,100,100
Basic_Stairs_1B,-26.9,7.01,-19.5,0,90,0,100,100,100
Basic_Stairs_1B,-26.9,7.01,43.34,0,90,0,100,100,100
Basic_Stairs_1B,-26.9,7.01,74.67,0,90,0,100,100,100
Basic_Stairs_1B,47.13,7.01,43.48,0,270,0,100,100,100
Basic_Stairs_1B,47.1,7.01,11.99,0,270,0,100,100,100
Basic_Stairs_1B,47.11,7.01,74.81,0,270,0,100,100,100
Basic_Stairs_1B,47.14,7.01,-19.33,0,270,0,100,100,100
Basic_Stairs_1B,23.8,3.1,18.82,0,270,0,100,100,100
Basic_Stairs_1B,23.8,3.1,50.16,0,270,0,100,100,100
Block_Platform_Corner_1B(Mirrored),-6.86,3.1,2.28,0,180,0,100,100,100
Block_Platform_Corner_1B(Mirrored),27.44,3.14,61.01,0,0,0,100,100,100
Block_Platform_Corner_1B,-6.86,3.08,60.92,0,180,0,100,100,100
Block_Platform_1B,10.89,3.11,63.31,0,180,0,100,100,100
Block_Platform_1B,-13.07,7.04,87.91,0,180,0,100,100,100
Block_Platform_1B,9.9,7.04,87.91,0,180,0,100,100,100
Block_Platform_1B,-13.07,7.04,87.91,0,180,0,100,100,100
Block_Platform_1B,53.13,7.04,67.68,0,270,0,100,100,100
Block_Platform_1B,52.99,7.04,44.71,0,270,0,100,100,100
Block_Platform_1B,52.84,7.04,20.9,0,270,0,100,100,100
Block_Platform_1B,52.94,7.04,-2.13,0,270,0,100,100,100
Block_Platform_1B,-32.66,7.04,67.68,0,270,0,100,100,100
Block_Platform_1B,-32.8,7.04,44.71,0,270,0,100,100,100
Block_Platform_1B,-32.95,7.04,20.9,0,270,0,100,100,100
Block_Platform_1B,-32.85,7.04,-2.13,0,270,0,100,100,100
Block_Platform_1B,9.9,7.04,87.91,0,180,0,100,100,100
Block_Platform_1B,33.71,7.04,87.91,0,180,0,100,100,100
Block_Platform_1B,33.71,7.04,87.91,0,180,0,100,100,100
Block_Platform_Corner_1B,27.44,3.08,2.6,0,0,0,100,100,100
Block_Platform_1B,9.68,3.11,0.29,0,0,0,100,100,100
Block_Platform_1B,-9.1,3.11,43.51,0,90,0,100,100,100
Block_Platform_1B,29.71,3.11,43.92,0,90,0,100,100,100
Block_Platform_1B,29.71,3.11,19.94,0,90,0,100,100,100
Block_Platform_1B,-9.1,3.11,19.78,0,90,0,100,100,100
Floor_A,-2,4.81,71.68,0,0,0,100,100,100
Floor_A,15.21,8.71,96.23,0,0,0,100,100,100
Floor_A,15.21,8.71,-30.4,0,0,0,100,100,100
Floor_A,30.92,8.71,-30.4,0,0,0,100,100,100
Floor_A,-31.61,8.71,-30.4,0,0,0,100,100,100
Floor_A,-42.55,8.71,-30.4,0,0,0,100,100,100
Floor_A,-15.9,8.71,-30.4,0,0,0,100,100,100
Floor_A,-0.41,8.71,-30.4,0,0,0,100,100,100
Floor_A,-42,8.71,13.1,0,90,0,100,100,100
Floor_A,-41.65,8.71,-2.61,0,90,0,100,100,100
Floor_A,-43.03,8.71,59.91,0,90,0,100,100,100
Floor_A,-43.38,8.71,75.42,0,90,0,100,100,100
Floor_A,60.49,8.71,15.3,0,90,0,100,100,100
Floor_A,60.83,8.71,-0.41,0,90,0,100,100,100
Floor_A,59.45,8.71,62.11,0,90,0,100,100,100
Floor_A,59.11,8.71,77.62,0,90,0,100,100,100
Floor_A,58.82,8.71,92.34,0,90,0,100,100,100
Floor_A,58.62,8.71,101.42,0,90,0,100,100,100
Floor_A,59.8,8.71,46.4,0,90,0,100,100,100
Floor_A,60.14,8.71,30.91,0,90,0,100,100,100
Floor_A,61.18,8.71,-15.89,0,90,0,100,100,100
Floor_A,61.5,8.71,-30.55,0,90,0,100,100,100
Floor_A,-42.1,8.71,89.93,0,90,0,100,100,100
Floor_A,-42.36,8.71,101.54,0,90,0,100,100,100
Floor_A,-42.69,8.71,44.2,0,90,0,100,100,100
Floor_A,-42.34,8.71,28.72,0,90,0,100,100,100
Floor_A,-41.31,8.71,-18.09,0,90,0,100,100,100
Floor_A,46.41,8.71,-30.4,0,0,0,100,100,100
