Type,PosX,PosY,PosZ,ScaleX,ScaleY,ScaleZ
1,-0.48,1,43.62389,3,1,3
0,-6.6,9.62,-26.51,10,1,5
0,-42.2,9.62,9.5,5,1,13
0,39.17,5.62,73.53,5,1,5
0,-37,9.62,89.22,9,1,9
0,24.6,9.62,-26.3,10,1,5
0,60.36,9.62,52.8,5,1,13
0,22.6,9.62,95.1,10,1,5
0,10.14,5.62,74.25,12,1,5
0,39.7,5.62,34.92,6,1,12
0,59.04,9.62,-24.7,9,1,9
0,-6.23,9.62,95,10,1,5
0,11.36,2,49.65,5,1,5
0,56.9,9.62,89.22,9,1,9
0,11.36,2,13.31,5,1,5
0,-42,9.62,52.8,5,1,13
0,10.14,5.62,-7.42,12,1,5
0,-19.2,5.62,-7.18,5,1,5
0,-19.38,5.62,34.92,6,1,12
0,60.67,9.62,11,5,1,13
0,-39.4,9.62,-24.7,9,1,9
