ObjectName,v1x,v1y,v1z,v2x,v2y,v2z,v3x,v3y,v3z
Road_floor,-765.2531,11288.7700,8007.4400,-1765.2530,11288.7700,7007.4400,-1765.2530,11288.7700,8007.4400
Road_floor,-1765.2530,11288.7700,7007.4400,-765.2531,11288.7700,8007.4400,-765.2531,11288.7700,7007.4400
Road_floor,220.2671,11288.7700,8007.4400,-779.7328,11288.7700,7007.4400,-779.7328,11288.7700,8007.4400
Road_floor,-779.7328,11288.7700,7007.4400,220.2671,11288.7700,8007.4400,220.2671,11288.7700,7007.4400
Road_floor,-765.2531,11288.7700,8979.3600,-1765.2530,11288.7700,7979.3600,-1765.2530,11288.7700,8979.3600
Road_floor,-1765.2530,11288.7700,7979.3600,-765.2531,11288.7700,8979.3600,-765.2531,11288.7700,7979.3600
Road_floor,-1738.4800,11288.7700,8022.0000,-2738.4790,11288.7700,7022.0000,-2738.4790,11288.7700,8022.0000
Road_floor,-2738.4790,11288.7700,7022.0000,-1738.4800,11288.7700,8022.0000,-1738.4800,11288.7700,7022.0000
Road_floor,-1738.4800,11288.7700,8979.3600,-2738.4790,11288.7700,7979.3600,-2738.4790,11288.7700,8979.3600
Road_floor,-2738.4790,11288.7700,7979.3600,-1738.4800,11288.7700,8979.3600,-1738.4800,11288.7700,7979.3600
Road_floor,220.2671,11288.7700,8979.3600,-779.7328,11288.7700,7979.3600,-779.7328,11288.7700,8979.3600
Road_floor,-779.7328,11288.7700,7979.3600,220.2671,11288.7700,8979.3600,220.2671,11288.7700,7979.3600
Road_floor,-765.2531,11288.7700,9933.0000,-1765.2530,11288.7700,8933.0000,-1765.2530,11288.7700,9933.0000
Road_floor,-1765.2530,11288.7700,8933.0000,-765.2531,11288.7700,9933.0000,-765.2531,11288.7700,8933.0000
Road_floor,220.2671,11288.7700,9933.0000,-779.7328,11288.7700,8933.0000,-779.7328,11288.7700,9933.0000
Road_floor,-779.7328,11288.7700,8933.0000,220.2671,11288.7700,9933.0000,220.2671,11288.7700,8933.0000
Road_floor,-765.2531,11288.7700,10904.9200,-1765.2530,11288.7700,9904.9200,-1765.2530,11288.7700,10904.9200
Road_floor,-1765.2530,11288.7700,9904.9200,-765.2531,11288.7700,10904.9200,-765.2531,11288.7700,9904.9200
Road_floor,-1738.4800,11288.7700,9947.5610,-2738.4790,11288.7700,8947.5610,-2738.4790,11288.7700,9947.5610
