Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Road_floor,-12.65,112.89,75.07,0,0,0,100,100,100
Road_floor,-2.8,112.89,75.07,0,0,0,100,100,100
Road_floor,-12.65,112.89,84.79,0,0,0,100,100,100
Road_floor,-22.38,112.89,75.22,0,0,0,100,100,100
Road_floor,-22.38,112.89,84.79,0,0,0,100,100,100
Road_floor,-2.8,112.89,84.79,0,0,0,100,100,100
Road_floor,-12.65,112.89,94.33,0,0,0,100,100,100
Road_floor,-2.8,112.89,94.33,0,0,0,100,100,100
Road_floor,-12.65,112.89,104.05,0,0,0,100,100,100
Road_floor,-22.38,112.89,94.48,0,0,0,100,100,100
Road_floor,-22.38,112.89,104.05,0,0,0,100,100,100
Road_floor,-2.8,112.89,104.05,0,0,0,100,100,100
UNIConcrete,-0.15,114.03,70.13,0,90,0,100,100,100
UNIConcrete,-4.8,114.03,70.12,0,90,0,100,100,100
UNIConcrete,-9.42,114.03,70.12,0,90,0,100,100,100
UNIConcrete,-14.07,114.03,70.11,0,90,0,100,100,100
UNIConcrete,-18.48,114.03,70.11,0,90,0,100,100,100
UNIConcrete,-23.13,114.03,70.1,0,90,0,100,100,100
UNIConcrete,-27.75,114.03,70.1,0,90,0,100,100,100
UNIConcrete,-0.15,114.03,109.16,0,90,0,100,100,100
UNIConcrete,-4.8,114.03,109.16,0,90,0,100,100,100
UNIConcrete,-14.07,114.03,109.14,0,90,0,100,100,100
UNIConcrete,-9.42,114.03,109.15,0,90,0,100,100,100
UNIConcrete,2.35,114.03,97.47,0,0,0,100,100,100
UNIConcrete,-27.51,114.03,88.21,0,0,0,100,100,100
UNIConcrete,-27.52,114.03,83.49,0,0,0,100,100,100
UNIConcrete,-27.52,114.03,78.86,0,0,0,100,100,100
UNIConcrete,-27.54,114.03,74.24,0,0,0,100,100,100
UNIConcrete,-27.55,114.03,70.46,0,0,0,100,100,100
UNIConcrete,2.33,114.03,93.28,0,0,0,100,100,100
UNIConcrete,2.35,114.03,102.09,0,0,0,100,100,100
UNIConcrete,2.36,114.03,106.74,0,0,0,100,100,100
UNIConcrete,-27.75,114.03,109.13,0,90,0,100,100,100
UNIConcrete,-23.13,114.03,109.13,0,90,0,100,100,100
UNIConcrete,-18.48,114.03,109.14,0,90,0,100,100,100
Hangar_v3_basic,-32.66,117.41,102.37,0,0,0,100,100,100
Hangar_v1_full,6.71,115.38,73.56,0,0,0,100,100,100
Hangar_v1_full,6.71,115.38,80.75,0,0,0,100,100,100
Hangar_v1_full,6.71,115.38,87.92,0,0,0,100,100,100
Cargo_container_v1_LD1close,-31.31,114.38,95.03,0,0,0,100,100,100
Cargo_container_v1_LD1close,-31.31,117.32,93.7,0,0,0,100,100,100
Cargo_container_v1_LD1close,-31.31,114.38,92.07,0,0,0,100,100,100
